/mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/arabidopsis/chr1.fa /mnt/e/BMI3/upload_github/new_test/BMI3_miniproject-main/data/arabidopsis/chr1.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
587498	588028	27241242	27240718	531	525	87.52	30427671	30427671	0.00	0.00	1	1
604396	604476	309354	309273	81	82	98.78	30427671	30427671	0.00	0.00	1	1
604400	604476	5518136	5518060	77	77	100.00	30427671	30427671	0.00	0.00	1	1
696474	697374	20514573	20513679	901	895	88.50	30427671	30427671	0.00	0.00	1	1
696572	697374	6515253	6514476	803	778	90.61	30427671	30427671	0.00	0.00	1	1
758587	759616	11410303	11409280	1030	1024	91.21	30427671	30427671	0.00	0.00	1	1
758588	759312	16593137	16592401	725	737	94.86	30427671	30427671	0.00	0.00	1	1
758588	759288	16968240	16967528	701	713	93.85	30427671	30427671	0.00	0.00	1	1
758590	759416	26781147	26780327	827	821	92.27	30427671	30427671	0.00	0.00	1	1
759310	760505	16591983	16590784	1196	1200	96.09	30427671	30427671	0.00	0.00	1	1
759616	760305	11408852	11408157	690	696	96.27	30427671	30427671	0.00	0.00	1	1
759795	760505	11408506	11407790	711	717	95.27	30427671	30427671	0.00	0.00	1	1
780536	781905	890073	888720	1370	1354	94.84	30427671	30427671	0.00	0.00	1	1
780845	781648	792703	791877	804	827	89.58	30427671	30427671	0.00	0.00	1	1
781331	781811	1250159	1249660	481	500	85.49	30427671	30427671	0.00	0.00	1	1
781484	781980	423773	423256	497	518	86.62	30427671	30427671	0.00	0.00	1	1
781488	781980	1250932	1250426	493	507	88.85	30427671	30427671	0.00	0.00	1	1
781663	781980	424159	423831	318	329	89.36	30427671	30427671	0.00	0.00	1	1
784928	785406	12976612	12976139	479	474	89.17	30427671	30427671	0.00	0.00	1	1
791877	792703	781648	780845	827	804	89.58	30427671	30427671	0.00	0.00	1	1
873161	876015	1011228	1008397	2855	2832	93.52	30427671	30427671	0.01	0.01	1	1
888720	890073	781905	780536	1354	1370	94.84	30427671	30427671	0.00	0.00	1	1
888964	889269	1289550	1289212	306	339	86.43	30427671	30427671	0.00	0.00	1	1
893542	893974	13472534	13472100	433	435	85.29	30427671	30427671	0.00	0.00	1	1
974559	974681	974681	974559	123	123	96.77	30427671	30427671	0.00	0.00	1	1
1008397	1011228	876015	873161	2832	2855	93.52	30427671	30427671	0.01	0.01	1	1
1159025	1159093	2107466	2107398	69	69	100.00	30427671	30427671	0.00	0.00	1	1
1159025	1159093	2111216	2111148	69	69	100.00	30427671	30427671	0.00	0.00	1	1
1159025	1159093	22313482	22313414	69	69	100.00	30427671	30427671	0.00	0.00	1	1
1159025	1159093	22394705	22394637	69	69	100.00	30427671	30427671	0.00	0.00	1	1
1194311	1195122	18321400	18320602	812	799	93.87	30427671	30427671	0.00	0.00	1	1
1215730	1215833	26429835	26429732	104	104	99.04	30427671	30427671	0.00	0.00	1	1
1260749	1260953	3483322	3483097	205	226	83.63	30427671	30427671	0.00	0.00	1	1
1275783	1276614	8170362	8169453	832	910	85.45	30427671	30427671	0.00	0.00	1	1
1276360	1276613	16710241	16709990	254	252	91.73	30427671	30427671	0.00	0.00	1	1
1288819	1289575	424585	423786	757	800	84.56	30427671	30427671	0.00	0.00	1	1
1289005	1289578	550720	550173	574	548	86.08	30427671	30427671	0.00	0.00	1	1
1289007	1289383	1250922	1250563	377	360	88.86	30427671	30427671	0.00	0.00	1	1
1289011	1289545	550168	549649	535	520	87.17	30427671	30427671	0.00	0.00	1	1
1289011	1289335	550532	550214	325	319	90.83	30427671	30427671	0.00	0.00	1	1
1289018	1289325	792017	791699	308	319	89.38	30427671	30427671	0.00	0.00	1	1
1289173	1289385	1250944	1250741	213	204	88.37	30427671	30427671	0.00	0.00	1	1
1289175	1289346	550911	550738	172	174	90.34	30427671	30427671	0.00	0.00	1	1
1289212	1289579	792206	791841	368	366	85.15	30427671	30427671	0.00	0.00	1	1
1289212	1289550	889269	888964	339	306	86.43	30427671	30427671	0.00	0.00	1	1
1356417	1357528	18519733	18518620	1112	1114	93.74	30427671	30427671	0.00	0.00	1	1
1357529	1357799	18518526	18518253	271	274	95.62	30427671	30427671	0.00	0.00	1	1
1358164	1358272	18517839	18517731	109	109	97.25	30427671	30427671	0.00	0.00	1	1
1430266	1431028	432073	431310	763	764	95.68	30427671	30427671	0.00	0.00	1	1
1430269	1430588	29612402	29612043	320	360	82.55	30427671	30427671	0.00	0.00	1	1
1441507	1443235	12733352	12731619	1729	1734	94.49	30427671	30427671	0.01	0.01	1	1
1443328	1443926	16459310	16458711	599	600	98.00	30427671	30427671	0.00	0.00	1	1
1443924	1444534	16458224	16457614	611	611	98.20	30427671	30427671	0.00	0.00	1	1
1444537	1444783	1877625	1877368	247	258	87.74	30427671	30427671	0.00	0.00	1	1
1445038	1445884	1877025	1876180	847	846	84.39	30427671	30427671	0.00	0.00	1	1
1445766	1446243	1729314	1728867	478	448	83.09	30427671	30427671	0.00	0.00	1	1
1445930	1446213	1876008	1875740	284	269	84.21	30427671	30427671	0.00	0.00	1	1
1461244	1461659	1652130	1651740	416	391	88.28	30427671	30427671	0.00	0.00	1	1
1476478	1476716	24577410	24577177	239	234	94.56	30427671	30427671	0.00	0.00	1	1
1520918	1522778	1527454	1525593	1861	1862	99.79	30427671	30427671	0.01	0.01	1	1
1525593	1527454	1522778	1520918	1862	1861	99.79	30427671	30427671	0.01	0.01	1	1
1584301	1585189	2092678	2091802	889	877	90.72	30427671	30427671	0.00	0.00	1	1
1613272	1614264	20330666	20329674	993	993	96.88	30427671	30427671	0.00	0.00	1	1
1614359	1614657	20329672	20329374	299	299	96.32	30427671	30427671	0.00	0.00	1	1
1651740	1652130	1461659	1461244	391	416	88.28	30427671	30427671	0.00	0.00	1	1
1676303	1676515	2207242	2207027	213	216	88.94	30427671	30427671	0.00	0.00	1	1
1705401	1706439	11526798	11525753	1039	1046	85.61	30427671	30427671	0.00	0.00	1	1
1705574	1706404	16890454	16889615	831	840	85.46	30427671	30427671	0.00	0.00	1	1
1728974	1729325	1446265	1445914	352	352	86.83	30427671	30427671	0.00	0.00	1	1
1825296	1825650	18667754	18667401	355	354	89.86	30427671	30427671	0.00	0.00	1	1
1827322	1828479	18667788	18666639	1158	1150	93.88	30427671	30427671	0.00	0.00	1	1
1875828	1877025	1446265	1445038	1198	1228	82.87	30427671	30427671	0.00	0.00	1	1
1877368	1877625	1444783	1444537	258	247	87.74	30427671	30427671	0.00	0.00	1	1
1883714	1883951	13814681	13814429	238	253	83.20	30427671	30427671	0.00	0.00	1	1
1938071	1938543	26520586	26520101	473	486	93.00	30427671	30427671	0.00	0.00	1	1
1938073	1938550	14042570	14042092	478	479	88.64	30427671	30427671	0.00	0.00	1	1
1975106	1975993	19086810	19085920	888	891	93.83	30427671	30427671	0.00	0.00	1	1
1975748	1977139	18642	17255	1392	1388	92.64	30427671	30427671	0.00	0.00	1	1
1976336	1977027	16807925	16807222	692	704	91.22	30427671	30427671	0.00	0.00	1	1
1976432	1977027	16806984	16806377	596	608	90.62	30427671	30427671	0.00	0.00	1	1
2031529	2031698	3262245	3262075	170	171	94.15	30427671	30427671	0.00	0.00	1	1
2091802	2092678	1585189	1584301	877	889	90.72	30427671	30427671	0.00	0.00	1	1
2207027	2207242	1676515	1676303	216	213	88.94	30427671	30427671	0.00	0.00	1	1
2233820	2233889	23175205	23175136	70	70	100.00	30427671	30427671	0.00	0.00	1	1
2234426	2235029	16825352	16824753	604	600	92.90	30427671	30427671	0.00	0.00	1	1
2234426	2235029	23214504	23213901	604	604	92.93	30427671	30427671	0.00	0.00	1	1
2291361	2293072	2299565	2297764	1712	1802	88.23	30427671	30427671	0.01	0.01	1	1
2293729	2294621	2297331	2296442	893	890	89.20	30427671	30427671	0.00	0.00	1	1
2296442	2297331	2294621	2293729	890	893	89.20	30427671	30427671	0.00	0.00	1	1
2297764	2299565	2293072	2291361	1802	1712	88.23	30427671	30427671	0.01	0.01	1	1
2335243	2335497	24608624	24608380	255	245	84.77	30427671	30427671	0.00	0.00	1	1
2339222	2339424	2341701	2341504	203	198	89.81	30427671	30427671	0.00	0.00	1	1
2341504	2341701	2339424	2339222	198	203	89.81	30427671	30427671	0.00	0.00	1	1
2341780	2341972	2338989	2338787	193	203	84.47	30427671	30427671	0.00	0.00	1	1
2369183	2369624	2421783	2421334	442	450	95.78	30427671	30427671	0.00	0.00	1	1
2370172	2374133	2420702	2416744	3962	3959	94.27	30427671	30427671	0.01	0.01	1	1
2406833	2406907	552712	552638	75	75	100.00	30427671	30427671	0.00	0.00	1	1
2416744	2420702	2374133	2370172	3959	3962	94.27	30427671	30427671	0.01	0.01	1	1
2421334	2421783	2369624	2369183	450	442	95.78	30427671	30427671	0.00	0.00	1	1
2443947	2444424	2465630	2465088	478	543	84.16	30427671	30427671	0.00	0.00	1	1
2455243	2457266	2465098	2463078	2024	2021	93.40	30427671	30427671	0.01	0.01	1	1
2458713	2460621	2465091	2463178	1909	1914	94.80	30427671	30427671	0.01	0.01	1	1
2463078	2465098	2457266	2455243	2021	2024	93.40	30427671	30427671	0.01	0.01	1	1
2463178	2465091	2460621	2458713	1914	1909	94.80	30427671	30427671	0.01	0.01	1	1
2465088	2465630	2444424	2443947	543	478	84.16	30427671	30427671	0.00	0.00	1	1
2466067	2466301	5615394	5615160	235	235	94.47	30427671	30427671	0.00	0.00	1	1
2472893	2473131	5863517	5863267	239	251	88.93	30427671	30427671	0.00	0.00	1	1
2472895	2473131	27241280	27241042	237	239	92.08	30427671	30427671	0.00	0.00	1	1
2472899	2473131	26881276	26881043	233	234	92.34	30427671	30427671	0.00	0.00	1	1
2524038	2525744	2529170	2527426	1707	1745	86.57	30427671	30427671	0.01	0.01	1	1
2527426	2529170	2525744	2524038	1745	1707	86.57	30427671	30427671	0.01	0.01	1	1
2531707	2532375	5681342	5680674	669	669	97.91	30427671	30427671	0.00	0.00	1	1
2533299	2534163	5680634	5679770	865	865	99.08	30427671	30427671	0.00	0.00	1	1
2534159	2534293	2842555	2842419	135	137	94.16	30427671	30427671	0.00	0.00	1	1
2587213	2587832	13870444	13869874	620	571	87.90	30427671	30427671	0.00	0.00	1	1
2587213	2587385	17502807	17502636	173	172	92.49	30427671	30427671	0.00	0.00	1	1
2587824	2588430	8190566	8189960	607	607	93.93	30427671	30427671	0.00	0.00	1	1
2587832	2588438	17606135	17605541	607	595	87.87	30427671	30427671	0.00	0.00	1	1
2587832	2588434	25358422	25357819	603	604	94.38	30427671	30427671	0.00	0.00	1	1
2588524	2588596	4285959	4285887	73	73	100.00	30427671	30427671	0.00	0.00	1	1
2780348	2780505	20379414	20379257	158	158	89.24	30427671	30427671	0.00	0.00	1	1
2780818	2780993	20378961	20378788	176	174	90.40	30427671	30427671	0.00	0.00	1	1
2781689	2781837	20378084	20377936	149	149	90.60	30427671	30427671	0.00	0.00	1	1
2784233	2784450	20375551	20375334	218	218	88.07	30427671	30427671	0.00	0.00	1	1
2788427	2800697	7365197	7352927	12271	12271	99.96	30427671	30427671	0.04	0.04	1	1
2842419	2842555	2534293	2534159	137	135	94.16	30427671	30427671	0.00	0.00	1	1
2846534	2846612	4742073	4741995	79	79	100.00	30427671	30427671	0.00	0.00	1	1
2846534	2846608	4743169	4743095	75	75	100.00	30427671	30427671	0.00	0.00	1	1
2879303	2879376	3431256	3431183	74	74	100.00	30427671	30427671	0.00	0.00	1	1
2879303	2879375	22040683	22040611	73	73	100.00	30427671	30427671	0.00	0.00	1	1
2939407	2939495	6995364	6995275	89	90	96.67	30427671	30427671	0.00	0.00	1	1
3023479	3023836	20704579	20704224	358	356	91.62	30427671	30427671	0.00	0.00	1	1
3062009	3062231	11230538	11230309	223	230	93.04	30427671	30427671	0.00	0.00	1	1
3062235	3063647	11230036	11228621	1413	1416	97.32	30427671	30427671	0.00	0.00	1	1
3062833	3063269	21356032	21355594	437	439	93.39	30427671	30427671	0.00	0.00	1	1
3073225	3074941	18732	17012	1717	1721	96.69	30427671	30427671	0.01	0.01	1	1
3073226	3074698	6737366	6735891	1473	1476	95.54	30427671	30427671	0.00	0.00	1	1
3074543	3074698	23174135	23173981	156	155	96.15	30427671	30427671	0.00	0.00	1	1
3106540	3107067	3137439	3136910	528	530	91.92	30427671	30427671	0.00	0.00	1	1
3107216	3107616	3136802	3136397	401	406	92.42	30427671	30427671	0.00	0.00	1	1
3113093	3114851	18569509	18567777	1759	1733	88.74	30427671	30427671	0.01	0.01	1	1
3115273	3116474	18567777	18566585	1202	1193	89.11	30427671	30427671	0.00	0.00	1	1
3125158	3125613	3164475	3164012	456	464	83.37	30427671	30427671	0.00	0.00	1	1
3132115	3132265	3132543	3132392	151	152	94.74	30427671	30427671	0.00	0.00	1	1
3132392	3132543	3132265	3132115	152	151	94.74	30427671	30427671	0.00	0.00	1	1
3136397	3136802	3107616	3107216	406	401	92.42	30427671	30427671	0.00	0.00	1	1
3136910	3137439	3107067	3106540	530	528	91.92	30427671	30427671	0.00	0.00	1	1
3164012	3164475	3125613	3125158	464	456	83.37	30427671	30427671	0.00	0.00	1	1
3180541	3180740	4842470	4842271	200	200	96.50	30427671	30427671	0.00	0.00	1	1
3180541	3180740	5758580	5758382	200	199	97.50	30427671	30427671	0.00	0.00	1	1
3250618	3251474	8623596	8622761	857	836	86.47	30427671	30427671	0.00	0.00	1	1
3250618	3251451	9385021	9384189	834	833	89.88	30427671	30427671	0.00	0.00	1	1
3250618	3251439	14014219	14013415	822	805	84.93	30427671	30427671	0.00	0.00	1	1
3250618	3251451	18301130	18300299	834	832	89.06	30427671	30427671	0.00	0.00	1	1
3250790	3251481	21615998	21615294	692	705	87.85	30427671	30427671	0.00	0.00	1	1
3251256	3251474	26510903	26510675	219	229	86.90	30427671	30427671	0.00	0.00	1	1
3251333	3251481	13313664	13313514	149	151	90.07	30427671	30427671	0.00	0.00	1	1
3262070	3262304	16045341	16045107	235	235	89.87	30427671	30427671	0.00	0.00	1	1
3262075	3262245	2031698	2031529	171	170	94.15	30427671	30427671	0.00	0.00	1	1
3262767	3263125	30050427	30050069	359	359	96.94	30427671	30427671	0.00	0.00	1	1
3263125	3263411	30049842	30049544	287	299	92.64	30427671	30427671	0.00	0.00	1	1
3263573	3263791	16039113	16038897	219	217	91.36	30427671	30427671	0.00	0.00	1	1
3292646	3292915	21736069	21735801	270	269	86.67	30427671	30427671	0.00	0.00	1	1
3342440	3343059	9863307	9862689	620	619	96.13	30427671	30427671	0.00	0.00	1	1
3360089	3360539	3437292	3436834	451	459	92.67	30427671	30427671	0.00	0.00	1	1
3360319	3360469	22049706	22049559	151	148	89.40	30427671	30427671	0.00	0.00	1	1
3360538	3360660	7722549	7722427	123	123	96.75	30427671	30427671	0.00	0.00	1	1
3360539	3360660	7715146	7715025	122	122	96.72	30427671	30427671	0.00	0.00	1	1
3409028	3409189	21927766	21927605	162	162	87.73	30427671	30427671	0.00	0.00	1	1
3413553	3414464	12876928	12876014	912	915	93.68	30427671	30427671	0.00	0.00	1	1
3413816	3414847	19769025	19767983	1032	1043	93.58	30427671	30427671	0.00	0.00	1	1
3414058	3414347	22621025	22620736	290	290	94.85	30427671	30427671	0.00	0.00	1	1
3431183	3431256	2879376	2879303	74	74	100.00	30427671	30427671	0.00	0.00	1	1
3436834	3437292	3360539	3360089	459	451	92.67	30427671	30427671	0.00	0.00	1	1
3483097	3483322	1260953	1260749	226	205	83.63	30427671	30427671	0.00	0.00	1	1
3536972	3537096	22389940	22389816	125	125	92.80	30427671	30427671	0.00	0.00	1	1
3537906	3538028	22388967	22388845	123	123	95.93	30427671	30427671	0.00	0.00	1	1
3546820	3547235	17369791	17369382	416	410	91.83	30427671	30427671	0.00	0.00	1	1
3566151	3566336	22370947	22370762	186	186	90.86	30427671	30427671	0.00	0.00	1	1
3566566	3566718	22370513	22370360	153	154	87.10	30427671	30427671	0.00	0.00	1	1
3645038	3645405	19906272	19905899	368	374	85.87	30427671	30427671	0.00	0.00	1	1
3646471	3647380	19904802	19903898	910	905	84.37	30427671	30427671	0.00	0.00	1	1
3676606	3676708	11797286	11797183	103	104	96.15	30427671	30427671	0.00	0.00	1	1
3676606	3676695	29444011	29443922	90	90	98.89	30427671	30427671	0.00	0.00	1	1
3730674	3731645	4508196	4507216	972	981	81.98	30427671	30427671	0.00	0.00	1	1
3762161	3762738	9418943	9418367	578	577	94.47	30427671	30427671	0.00	0.00	1	1
3762193	3762394	20560283	20560082	202	202	97.52	30427671	30427671	0.00	0.00	1	1
3780765	3783641	21529850	21526978	2877	2873	99.34	30427671	30427671	0.01	0.01	1	1
3783738	3785720	21526977	21524995	1983	1983	99.39	30427671	30427671	0.01	0.01	1	1
3814725	3815279	3843640	3843078	555	563	87.41	30427671	30427671	0.00	0.00	1	1
3826020	3827667	4112848	4111135	1648	1714	88.50	30427671	30427671	0.01	0.01	1	1
3826020	3827280	13906722	13905539	1261	1184	85.76	30427671	30427671	0.00	0.00	1	1
3826065	3827697	16597886	16596176	1633	1711	86.81	30427671	30427671	0.01	0.01	1	1
3826649	3826969	11900425	11900083	321	343	82.61	30427671	30427671	0.00	0.00	1	1
3827505	3827664	13905357	13905199	160	159	96.25	30427671	30427671	0.00	0.00	1	1
3843078	3843640	3815279	3814725	563	555	87.41	30427671	30427671	0.00	0.00	1	1
3853211	3853545	40979	40652	335	328	81.66	30427671	30427671	0.00	0.00	1	1
3892389	3893186	13878808	13878020	798	789	86.16	30427671	30427671	0.00	0.00	1	1
3897236	3897510	16878902	16878624	275	279	84.40	30427671	30427671	0.00	0.00	1	1
3897670	3898227	16881154	16880606	558	549	85.36	30427671	30427671	0.00	0.00	1	1
3910362	3910601	16824759	16824518	240	242	97.52	30427671	30427671	0.00	0.00	1	1
3910362	3910601	23213907	23213666	240	242	98.35	30427671	30427671	0.00	0.00	1	1
3927341	3927441	3927441	3927341	101	101	98.04	30427671	30427671	0.00	0.00	1	1
3933168	3933466	18548397	18548101	299	297	94.65	30427671	30427671	0.00	0.00	1	1
3979941	3981114	20033704	20032545	1174	1160	95.41	30427671	30427671	0.00	0.00	1	1
3980625	3980854	16244824	16244589	230	236	87.76	30427671	30427671	0.00	0.00	1	1
4093261	4093409	23197680	23197532	149	149	96.64	30427671	30427671	0.00	0.00	1	1
4093642	4094378	25098638	25097904	737	735	91.19	30427671	30427671	0.00	0.00	1	1
4093652	4094377	16253482	16252755	726	728	90.00	30427671	30427671	0.00	0.00	1	1
4093808	4094050	10526939	10526699	243	241	87.30	30427671	30427671	0.00	0.00	1	1
4094378	4094491	23197540	23197426	114	115	96.52	30427671	30427671	0.00	0.00	1	1
4110098	4111033	10803347	10802414	936	934	97.86	30427671	30427671	0.00	0.00	1	1
4110103	4111021	258630	257710	919	921	97.72	30427671	30427671	0.00	0.00	1	1
4110103	4110253	4111022	4110872	151	151	97.35	30427671	30427671	0.00	0.00	1	1
4110105	4111016	7762110	7761201	912	910	97.70	30427671	30427671	0.00	0.00	1	1
4111382	4113061	3827484	3825780	1680	1705	89.23	30427671	30427671	0.01	0.01	1	1
4112098	4112897	18600329	18599506	800	824	90.81	30427671	30427671	0.00	0.00	1	1
4184166	4186105	4355816	4353874	1940	1943	89.35	30427671	30427671	0.01	0.01	1	1
4197115	4197183	4199588	4199520	69	69	100.00	30427671	30427671	0.00	0.00	1	1
4199520	4199588	4197183	4197115	69	69	100.00	30427671	30427671	0.00	0.00	1	1
4285887	4285959	2588596	2588524	73	73	100.00	30427671	30427671	0.00	0.00	1	1
4294886	4296636	4355816	4354066	1751	1751	88.42	30427671	30427671	0.01	0.01	1	1
4329895	4330142	4334392	4334145	248	248	96.77	30427671	30427671	0.00	0.00	1	1
4334145	4334392	4330142	4329895	248	248	96.77	30427671	30427671	0.00	0.00	1	1
4353874	4355816	4186105	4184166	1943	1940	89.35	30427671	30427671	0.01	0.01	1	1
4354066	4355816	4296636	4294886	1751	1751	88.42	30427671	30427671	0.01	0.01	1	1
4382651	4383381	4388826	4388111	731	716	81.36	30427671	30427671	0.00	0.00	1	1
4388111	4388826	4383381	4382651	716	731	81.39	30427671	30427671	0.00	0.00	1	1
4406003	4411120	6709327	6704196	5118	5132	96.43	30427671	30427671	0.02	0.02	1	1
4406006	4411120	6543536	6538418	5115	5119	95.82	30427671	30427671	0.02	0.02	1	1
4507216	4508196	3731645	3730674	981	972	81.98	30427671	30427671	0.00	0.00	1	1
4522700	4522782	1978165	1978084	83	82	98.80	30427671	30427671	0.00	0.00	1	1
4522709	4522788	25886609	25886530	80	80	100.00	30427671	30427671	0.00	0.00	1	1
4556806	4556874	11067269	11067201	69	69	100.00	30427671	30427671	0.00	0.00	1	1
4556806	4556874	17246272	17246204	69	69	100.00	30427671	30427671	0.00	0.00	1	1
4587910	4588102	28391475	28391285	193	191	92.75	30427671	30427671	0.00	0.00	1	1
4587924	4588452	28393314	28392790	529	525	86.54	30427671	30427671	0.00	0.00	1	1
4698982	4699094	4699094	4698982	113	113	90.43	30427671	30427671	0.00	0.00	1	1
4741990	4742076	20413009	20412922	87	88	96.59	30427671	30427671	0.00	0.00	1	1
4741995	4742073	2846612	2846534	79	79	100.00	30427671	30427671	0.00	0.00	1	1
4770108	4770665	24646072	24645519	558	554	89.75	30427671	30427671	0.00	0.00	1	1
4770115	4770666	12098017	12097455	552	563	92.23	30427671	30427671	0.00	0.00	1	1
4770115	4770665	21918984	21918434	551	551	95.83	30427671	30427671	0.00	0.00	1	1
4770117	4770598	10931470	10930990	482	481	90.71	30427671	30427671	0.00	0.00	1	1
4786259	4786992	11736332	11735587	734	746	92.54	30427671	30427671	0.00	0.00	1	1
4786265	4787256	19466071	19465089	992	983	93.37	30427671	30427671	0.00	0.00	1	1
4786485	4787255	19328001	19327237	771	765	93.00	30427671	30427671	0.00	0.00	1	1
4966560	4966992	17685813	17685391	433	423	83.60	30427671	30427671	0.00	0.00	1	1
5098370	5098593	20320561	20320313	224	249	87.15	30427671	30427671	0.00	0.00	1	1
5098503	5098593	20320108	20320018	91	91	95.65	30427671	30427671	0.00	0.00	1	1
5099308	5100444	20319818	20318683	1137	1136	98.94	30427671	30427671	0.00	0.00	1	1
5100442	5100773	20312290	20311965	332	326	93.37	30427671	30427671	0.00	0.00	1	1
5100795	5101002	20319818	20319611	208	208	97.60	30427671	30427671	0.00	0.00	1	1
5102197	5102311	20311968	20311850	115	119	87.39	30427671	30427671	0.00	0.00	1	1
5159782	5160011	11052340	11052111	230	230	86.09	30427671	30427671	0.00	0.00	1	1
5235037	5235436	22036382	22035983	400	400	88.50	30427671	30427671	0.00	0.00	1	1
5235739	5236520	22035501	22034720	782	782	81.10	30427671	30427671	0.00	0.00	1	1
5312021	5312209	28109775	28109588	189	188	90.48	30427671	30427671	0.00	0.00	1	1
5312447	5312876	28109255	28108834	430	422	84.53	30427671	30427671	0.00	0.00	1	1
5313251	5313380	28108599	28108470	130	130	87.79	30427671	30427671	0.00	0.00	1	1
5353173	5354400	13747818	13746609	1228	1210	89.47	30427671	30427671	0.00	0.00	1	1
5355066	5355856	13745883	13745047	791	837	83.16	30427671	30427671	0.00	0.00	1	1
5380901	5380994	21883930	21883837	94	94	98.94	30427671	30427671	0.00	0.00	1	1
5391415	5392679	16625827	16624535	1265	1293	91.45	30427671	30427671	0.00	0.00	1	1
5391428	5392676	17666250	17665029	1249	1222	87.95	30427671	30427671	0.00	0.00	1	1
5437030	5437789	8539635	8538888	760	748	90.17	30427671	30427671	0.00	0.00	1	1
5437045	5437790	6515220	6514474	746	747	94.13	30427671	30427671	0.00	0.00	1	1
5437099	5437791	10240036	10239317	693	720	87.79	30427671	30427671	0.00	0.00	1	1
5531295	5531892	12993596	12992996	598	601	96.17	30427671	30427671	0.00	0.00	1	1
5531296	5531489	9919332	9919140	194	193	94.33	30427671	30427671	0.00	0.00	1	1
5531517	5531892	9918828	9918453	376	376	95.49	30427671	30427671	0.00	0.00	1	1
5564166	5564870	29937234	29936524	705	711	84.55	30427671	30427671	0.00	0.00	1	1
5566984	5567413	29934098	29933681	430	418	82.87	30427671	30427671	0.00	0.00	1	1
