qname	qlen	start1	end1	strand	tname	tlen	start2	end2	n_match	length	mapq	identity
1	30427671	14188122	14193122	-	1	30427671	16298048	16302979	3451	5026	0	68.66295264623955
1	30427671	28793240	28797838	-	1	30427671	28838499	28843090	3401	4630	0	73.45572354211663
1	30427671	28838499	28843090	-	1	30427671	28793240	28797838	3401	4630	0	73.45572354211663
1	30427671	15064606	15076063	+	1	30427671	15834559	15847491	3662	13064	0	28.031230863441518
1	30427671	15834559	15847491	+	1	30427671	15064606	15076063	3662	13064	0	28.031230863441518
1	30427671	30331892	30423525	-	1	30427671	30331892	30423525	3350	91634	0	3.6558482659274945
1	30427671	15064606	15076063	+	1	30427671	15822393	15835262	3647	13059	0	27.927100084233096
1	30427671	15822393	15835262	+	1	30427671	15064606	15076063	3647	13059	0	27.927100084233096
1	30427671	4406033	4411050	-	1	30427671	6704264	6709296	3275	5048	0	64.87717908082409
1	30427671	6704264	6709296	-	1	30427671	4406033	4411050	3275	5048	0	64.87717908082409
1	30427671	13283535	13288987	-	1	30427671	17312371	17317807	3246	5480	0	59.23357664233576
1	30427671	17312371	17317807	-	1	30427671	13283535	13288987	3246	5480	0	59.23357664233576
1	30427671	15476374	15517709	+	1	30427671	14082610	14128323	4025	46205	0	8.711178443891354
1	30427671	14082610	14128323	+	1	30427671	15476374	15517709	4025	46205	0	8.711178443891354
1	30427671	15053373	15081670	+	1	30427671	16005881	16032714	3386	28378	0	11.931778137994222
1	30427671	16005881	16032714	+	1	30427671	15053373	15081670	3386	28378	0	11.931778137994222
1	30427671	15610365	15615940	+	1	30427671	13230692	13236243	3086	5624	0	54.871977240398294
1	30427671	13230692	13236243	+	1	30427671	15610365	15615940	3086	5624	0	54.871977240398294
1	30427671	15662707	15674341	-	1	30427671	16626106	16637205	3262	12173	0	26.797009775733184
1	30427671	16626106	16637205	-	1	30427671	15662707	15674341	3262	12173	0	26.797009775733184
1	30427671	14433956	14438216	+	1	30427671	14316771	14320834	3004	4296	0	69.92551210428304
1	30427671	14316771	14320834	+	1	30427671	14433956	14438216	3004	4296	0	69.92551210428304
1	30427671	14214817	14240987	+	1	30427671	14837731	14857345	4368	27659	0	15.792327994504502
1	30427671	14214817	14240987	-	1	30427671	14865454	14885068	4368	27659	0	15.792327994504502
1	30427671	14837731	14857345	+	1	30427671	14214817	14240987	4368	27659	0	15.792327994504502
1	30427671	14865454	14885068	-	1	30427671	14214817	14240987	4368	27659	0	15.792327994504502
1	30427671	14196990	14206834	+	1	30427671	16626106	16637122	3169	11348	0	27.925625660909407
1	30427671	16626106	16637122	+	1	30427671	14196990	14206834	3169	11348	0	27.925625660909407
1	30427671	14825258	14828196	+	1	30427671	14667443	14670381	2841	2938	0	96.69843430905378
1	30427671	14667443	14670381	+	1	30427671	14825258	14828196	2841	2938	0	96.69843430905378
1	30427671	14828278	14831827	+	1	30427671	14672330	14675880	2828	3550	0	79.6619718309859
1	30427671	14672330	14675880	+	1	30427671	14828278	14831827	2828	3550	0	79.6619718309859
1	30427671	19374675	19378150	-	1	30427671	12836091	12839540	2756	3475	0	79.30935251798562
1	30427671	12836091	12839540	-	1	30427671	19374675	19378150	2756	3475	0	79.30935251798562
1	30427671	14226705	14255821	-	1	30427671	15823474	15847504	4582	32472	0	14.110618378911061
1	30427671	15823474	15847504	-	1	30427671	14226705	14255821	4582	32472	0	14.110618378911061
1	30427671	15476421	15485225	-	1	30427671	15041221	15052720	3229	11715	0	27.562953478446435
1	30427671	15041221	15052720	-	1	30427671	15476421	15485225	3229	11715	0	27.562953478446435
1	30427671	15950705	15958231	+	1	30427671	13625290	13631963	2956	7764	0	38.073158165893865
1	30427671	13625290	13631963	+	1	30427671	15950705	15958231	2956	7764	0	38.073158165893865
1	30427671	15041221	15052787	-	1	30427671	15455490	15464363	3192	11783	0	27.089875243995586
1	30427671	15455490	15464363	-	1	30427671	15041221	15052787	3192	11783	0	27.089875243995586
1	30427671	15455503	15464266	+	1	30427671	14082603	14094017	3206	11689	0	27.427495936350414
1	30427671	14082603	14094017	+	1	30427671	15455503	15464266	3206	11689	0	27.427495936350414
1	30427671	23489806	23494116	-	1	30427671	23173233	23179006	2904	5804	0	50.03445899379738
1	30427671	23173233	23179006	-	1	30427671	23489806	23494116	2923	5885	0	49.668649107901444
1	30427671	14226705	14263546	+	1	30427671	15178946	15210689	4374	39840	0	10.978915662650603
1	30427671	15178946	15210689	+	1	30427671	14226705	14263546	4374	39840	0	10.978915662650603
1	30427671	13507834	13515908	-	1	30427671	13659328	13667499	2681	8197	0	32.70708795900939
1	30427671	13659328	13667499	-	1	30427671	13507834	13515908	2681	8197	0	32.70708795900939
1	30427671	15462495	15471199	+	1	30427671	14082610	14094011	3146	11631	0	27.04840512423695
1	30427671	28831574	28842132	-	1	30427671	28831574	28842132	2688	10671	0	25.189766657295475
1	30427671	14082610	14094011	+	1	30427671	15462495	15471199	3146	11631	0	27.04840512423695
1	30427671	15469434	15478146	+	1	30427671	14082610	14094017	3129	11638	0	26.88606289740505
1	30427671	14082610	14094017	+	1	30427671	15469434	15478146	3129	11638	0	26.88606289740505
1	30427671	15462542	15471302	-	1	30427671	15041221	15052720	3120	11715	0	26.632522407170296
1	30427671	15041221	15052720	-	1	30427671	15462542	15471302	3120	11715	0	26.632522407170296
1	30427671	15469481	15478243	-	1	30427671	15041221	15052720	3109	11717	0	26.53409575829991
1	30427671	15041221	15052720	-	1	30427671	15469481	15478243	3109	11717	0	26.53409575829991
1	30427671	16080914	16088878	-	1	30427671	16742598	16750731	2641	8190	0	32.246642246642246
1	30427671	15538310	15557501	-	1	30427671	14234583	14255737	3125	21827	0	14.31713015989371
1	30427671	16742598	16750731	-	1	30427671	16080914	16088878	2641	8190	0	32.246642246642246
1	30427671	14234583	14255737	-	1	30427671	15538310	15557501	3106	21876	0	14.198208081916256
1	30427671	14810460	14815640	-	1	30427671	15486537	15491763	2558	5253	0	48.695983247668
1	30427671	14898755	14903935	+	1	30427671	15486537	15491763	2558	5253	0	48.695983247668
1	30427671	15486537	15491763	+	1	30427671	14898755	14903935	2558	5253	0	48.695983247668
1	30427671	15486537	15491763	-	1	30427671	14810460	14815640	2558	5253	0	48.695983247668
1	30427671	16012628	16019662	+	1	30427671	13507819	13515366	2662	7672	0	34.69760166840459
1	30427671	13507819	13515366	+	1	30427671	16012628	16019662	2662	7672	0	34.69760166840459
1	30427671	13771255	13777534	+	1	30427671	14334337	14340686	2542	6441	0	39.46592144077007
1	30427671	14334337	14340686	+	1	30427671	13771255	13777534	2542	6441	0	39.46592144077007
1	30427671	6273525	6276127	-	1	30427671	5679267	5681870	2488	2603	0	95.58202074529389
1	30427671	5679267	5681870	-	1	30427671	6273525	6276127	2488	2603	0	95.58202074529389
1	30427671	7860151	7872074	-	1	30427671	7860151	7872074	2580	12200	0	21.147540983606557
1	30427671	13768787	13800067	-	1	30427671	15502226	15544426	4922	44564	0	11.04478951620142
1	30427671	15064525	15076063	-	1	30427671	14226718	14247379	4033	21134	0	19.082994227311442
1	30427671	15536708	15544426	-	1	30427671	13768787	13777583	2657	8860	0	29.988713318284425
1	30427671	13082097	13112382	-	1	30427671	13082097	13112382	2632	30804	0	8.54434489027399
1	30427671	13768916	13777530	+	1	30427671	14434252	14442277	2620	8815	0	29.72206466250709
1	30427671	14434252	14442277	+	1	30427671	13768916	13777530	2620	8815	0	29.72206466250709
1	30427671	15038186	15042959	-	1	30427671	14082657	14087411	2472	4824	0	51.243781094527364
1	30427671	14082657	14087411	-	1	30427671	15038186	15042959	2472	4824	0	51.243781094527364
1	30427671	14226718	14247379	-	1	30427671	15064525	15076063	4089	21418	0	19.09141843309366
1	30427671	15536169	15546190	-	1	30427671	14432240	14442901	2765	11332	0	24.399929403459232
1	30427671	14432240	14442901	-	1	30427671	15536169	15546190	2765	11332	0	24.399929403459232
1	30427671	2458785	2465019	-	1	30427671	2458785	2465019	2426	6237	0	38.89690556357223
1	30427671	2291422	2299503	-	1	30427671	2291422	2299503	2532	8431	0	30.03202467085755
1	30427671	12927213	12931747	-	1	30427671	12576521	12581067	2422	4576	0	52.92832167832168
1	30427671	12576521	12581067	-	1	30427671	12927213	12931747	2422	4576	0	52.92832167832168
1	30427671	13940858	13946846	-	1	30427671	13787154	13793698	2575	6774	0	38.01299084735754
1	30427671	13787154	13793698	-	1	30427671	13940858	13946846	2575	6774	0	38.01299084735754
1	30427671	12576521	12581508	-	1	30427671	13082097	13087020	2425	5012	0	48.38387869114126
1	30427671	15491870	15517784	+	1	30427671	14226721	14260865	4188	35721	0	11.724195851179978
1	30427671	13082097	13087020	-	1	30427671	12576521	12581508	2425	5012	0	48.38387869114126
1	30427671	14226721	14260865	+	1	30427671	15491870	15517784	4188	35721	0	11.724195851179978
1	30427671	15042937	15048164	+	1	30427671	15486537	15491763	2409	5264	0	45.76367781155015
1	30427671	15486537	15491763	+	1	30427671	15042937	15048164	2409	5264	0	45.76367781155015
1	30427671	9547258	9551057	-	1	30427671	12333647	12338468	2591	4941	0	52.438777575389594
1	30427671	12333647	12338468	-	1	30427671	9547258	9551057	2591	4941	0	52.438777575389594
1	30427671	15821483	15835275	-	1	30427671	14226705	14248264	3737	21992	0	16.99254274281557
1	30427671	14082660	14093993	+	1	30427671	13786757	13795121	2949	11589	0	25.446544136681336
1	30427671	14226705	14248264	-	1	30427671	15821483	15835275	3737	21992	0	16.99254274281557
1	30427671	13786757	13795121	+	1	30427671	14082660	14093993	2949	11589	0	25.446544136681336
1	30427671	13915702	13946960	-	1	30427671	14806107	14840777	3112	35235	0	8.83212714630339
1	30427671	13507808	13515900	-	1	30427671	13883136	13890931	2479	8216	0	30.172833495618306
1	30427671	13883136	13890931	-	1	30427671	13507808	13515900	2479	8216	0	30.172833495618306
1	30427671	15476424	15488756	+	1	30427671	13786757	13800289	2748	14130	0	19.447983014861997
1	30427671	13786757	13800289	+	1	30427671	15476424	15488756	2748	14130	0	19.447983014861997
1	30427671	14912976	14922109	-	1	30427671	16019759	16029453	2779	10790	0	25.755329008341054
1	30427671	19085103	19173797	-	1	30427671	19085103	19173797	2324	88696	0	2.620185803192929
1	30427671	15455490	15464229	+	1	30427671	13786687	13795108	2432	8870	0	27.41826381059752
1	30427671	13786687	13795108	+	1	30427671	15455490	15464229	2432	8870	0	27.41826381059752
1	30427671	26235923	26238738	+	1	30427671	24840762	24843593	2325	2836	0	81.98166431593793
1	30427671	24840762	24843593	+	1	30427671	26235923	26238738	2325	2836	0	81.98166431593793
1	30427671	15665270	15674341	-	1	30427671	14196990	14205636	2435	9180	0	26.525054466230934
1	30427671	14196990	14205636	-	1	30427671	15665270	15674341	2435	9180	0	26.525054466230934
1	30427671	15445929	15454284	-	1	30427671	14499190	14507526	2462	8755	0	28.12107367218732
1	30427671	14499190	14507526	-	1	30427671	15445929	15454284	2462	8755	0	28.12107367218732
1	30427671	16019759	16029453	-	1	30427671	14912976	14922109	2748	10791	0	25.46566583263831
1	30427671	13082599	13087020	+	1	30427671	12927272	12931747	2277	4481	0	50.81455032358848
1	30427671	12927272	12931747	+	1	30427671	13082599	13087020	2277	4481	0	50.81455032358848
1	30427671	15038186	15043026	-	1	30427671	14805641	14810710	2330	5147	0	45.269088789586164
1	30427671	13786687	13794489	-	1	30427671	14897832	14908754	2799	11104	0	25.2071325648415
1	30427671	14897832	14908754	-	1	30427671	13786687	13794489	2799	11104	0	25.2071325648415
1	30427671	13786687	13794489	+	1	30427671	14805641	14816563	2799	11104	0	25.2071325648415
1	30427671	14805641	14816563	+	1	30427671	13786687	13794489	2799	11104	0	25.2071325648415
1	30427671	14432285	14442869	-	1	30427671	15704043	15714975	2419	11269	0	21.465968586387437
1	30427671	15704043	15714975	-	1	30427671	14432285	14442869	2419	11269	0	21.465968586387437
1	30427671	14805641	14810657	-	1	30427671	15038239	15043026	2311	5094	0	45.36709854731056
1	30427671	15038239	15043026	+	1	30427671	14903738	14908754	2311	5094	0	45.36709854731056
1	30427671	14903738	14908754	+	1	30427671	15038239	15043026	2311	5094	0	45.36709854731056
1	30427671	13659298	13667417	-	1	30427671	16380252	16387657	2360	8157	0	28.93220546769646
1	30427671	16380252	16387657	-	1	30427671	13659298	13667417	2360	8157	0	28.93220546769646
1	30427671	15462545	15471168	+	1	30427671	13786757	13795108	2312	8788	0	26.308602639963585
1	30427671	13786757	13795108	+	1	30427671	15462545	15471168	2312	8788	0	26.308602639963585
1	30427671	14216013	14225607	-	1	30427671	14385058	14394669	2209	9645	0	22.90305857957491
1	30427671	14385058	14394669	-	1	30427671	14216013	14225607	2209	9645	0	22.90305857957491
1	30427671	15160805	15166422	+	1	30427671	15280391	15285908	2196	5636	0	38.963804116394606
1	30427671	15280391	15285908	+	1	30427671	15160805	15166422	2196	5636	0	38.963804116394606
1	30427671	15469484	15478109	+	1	30427671	13786757	13795108	2280	8790	0	25.938566552901023
1	30427671	13786757	13795108	+	1	30427671	15469484	15478109	2280	8790	0	25.938566552901023
1	30427671	14087160	14092351	-	1	30427671	15486537	15491763	2189	5269	0	41.544885177453025
1	30427671	15486537	15491763	-	1	30427671	14087160	14092351	2189	5269	0	41.544885177453025
1	30427671	15706022	15715019	-	1	30427671	14246563	14255821	2247	9450	0	23.77777777777778
1	30427671	14246563	14255821	-	1	30427671	15706022	15715019	2247	9450	0	23.77777777777778
1	30427671	9547210	9551057	-	1	30427671	19941383	19945321	2295	4503	0	50.96602265156562
1	30427671	19941383	19945321	-	1	30427671	9547210	9551057	2295	4503	0	50.96602265156562
1	30427671	19941383	19945273	+	1	30427671	12333647	12338468	2344	5103	0	45.93376445228297
1	30427671	12333647	12338468	+	1	30427671	19941383	19945273	2344	5103	0	45.93376445228297
1	30427671	10524716	10529662	+	1	30427671	19941383	19945384	2308	5118	0	45.09574052364205
1	30427671	19941383	19945384	+	1	30427671	10524716	10529662	2308	5118	0	45.09574052364205
1	30427671	13920741	13947015	-	1	30427671	15476618	15504874	2451	28409	0	8.627547608152346
1	30427671	15178946	15192955	-	1	30427671	15445258	15454297	2884	14132	0	20.407585621285026
1	30427671	15445258	15454297	-	1	30427671	15178946	15192955	2884	14132	0	20.407585621285026
1	30427671	15704582	15713260	-	1	30427671	13768787	13777583	2143	8943	0	23.962875992396288
1	30427671	13768787	13777583	-	1	30427671	15704582	15713260	2143	8943	0	23.962875992396288
1	30427671	15060197	15074722	-	1	30427671	14487479	14501207	2546	15695	0	16.22172666454285
1	30427671	23418148	23421263	+	1	30427671	23297809	23300933	2036	3124	0	65.17285531370038
1	30427671	23297809	23300933	+	1	30427671	23418148	23421263	2036	3124	0	65.17285531370038
1	30427671	14099863	14107524	-	1	30427671	14451917	14461573	2366	9681	0	24.439624005784527
1	30427671	14451917	14461573	-	1	30427671	14099863	14107524	2366	9681	0	24.439624005784527
1	30427671	22912580	22947855	-	1	30427671	22912580	22947855	2116	35501	0	5.960395481817414
1	30427671	16012701	16019662	+	1	30427671	16380252	16387072	2251	7568	0	29.743657505285416
1	30427671	16380252	16387072	+	1	30427671	16012701	16019662	2251	7568	0	29.743657505285416
1	30427671	14487479	14498306	-	1	30427671	15064519	15074722	2151	10949	0	19.645629737875606
1	30427671	14178165	14183321	-	1	30427671	15500482	15504797	2163	5239	0	41.286505058217216
1	30427671	15500482	15504797	-	1	30427671	14178165	14183321	2163	5239	0	41.286505058217216
1	30427671	13796568	13801425	+	1	30427671	15445308	15450242	2008	4946	0	40.598463404771536
1	30427671	15445308	15450242	+	1	30427671	13796568	13801425	2008	4946	0	40.598463404771536
1	30427671	14178953	14183493	+	1	30427671	15064525	15069128	1995	4617	0	43.20987654320987
1	30427671	15064525	15069128	+	1	30427671	14178953	14183493	1995	4617	0	43.20987654320987
1	30427671	16095348	16104753	-	1	30427671	14451927	14461614	2052	9748	0	21.050471891670085
1	30427671	14451927	14461614	-	1	30427671	16095348	16104753	2052	9748	0	21.050471891670085
1	30427671	15833669	15838845	+	1	30427671	14178165	14183321	2003	5247	0	38.17419477796836
1	30427671	14178165	14183321	+	1	30427671	15833669	15838845	2003	5247	0	38.17419477796836
1	30427671	15187696	15192878	-	1	30427671	14178165	14183322	1975	5247	0	37.64055650848104
1	30427671	14178165	14183322	-	1	30427671	15187696	15192878	1975	5247	0	37.64055650848104
1	30427671	13869901	13890800	-	1	30427671	16380275	16400974	2160	21452	0	10.068991236248369
1	30427671	16380275	16400974	-	1	30427671	13869901	13890800	2160	21452	0	10.068991236248369
1	30427671	13862980	13890800	+	1	30427671	15784512	15807289	2880	28339	0	10.162673347683404
1	30427671	16457627	16460133	-	1	30427671	15763350	15765895	1935	2550	0	75.88235294117646
1	30427671	15763350	15765895	-	1	30427671	16457627	16460133	1935	2550	0	75.88235294117646
1	30427671	15784512	15807289	+	1	30427671	13862980	13890800	2880	28339	0	10.162673347683404
1	30427671	14897791	14908734	-	1	30427671	15476374	15484443	2457	11170	0	21.996418979409132
1	30427671	15476374	15484443	+	1	30427671	14805661	14816604	2457	11170	0	21.996418979409132
1	30427671	14805661	14816604	+	1	30427671	15476374	15484443	2457	11170	0	21.996418979409132
1	30427671	15476374	15484443	-	1	30427671	14897791	14908734	2457	11170	0	21.996418979409132
1	30427671	14121739	14128237	+	1	30427671	13644936	13652224	2116	7439	0	28.44468342519156
1	30427671	13644936	13652224	+	1	30427671	14121739	14128237	2116	7439	0	28.44468342519156
1	30427671	15832250	15845487	-	1	30427671	14487470	14502448	2351	15438	0	15.228656561730794
1	30427671	14487470	14502448	-	1	30427671	15832250	15845487	2351	15438	0	15.228656561730794
1	30427671	14664797	14666732	+	1	30427671	14857873	14859807	1916	1935	0	99.01808785529715
1	30427671	14857873	14859807	+	1	30427671	14664797	14666732	1916	1935	0	99.01808785529715
1	30427671	14178165	14183293	-	1	30427671	14243090	14248237	1948	5249	0	37.11183082491903
1	30427671	14243090	14248237	-	1	30427671	14178165	14183293	1948	5249	0	37.11183082491903
1	30427671	14897791	14908754	-	1	30427671	15455490	15463581	2435	11207	0	21.727491746230037
1	30427671	15455490	15463581	+	1	30427671	14805641	14816604	2435	11207	0	21.727491746230037
1	30427671	14805641	14816604	+	1	30427671	15455490	15463581	2435	11207	0	21.727491746230037
1	30427671	15455490	15463581	-	1	30427671	14897791	14908754	2435	11207	0	21.727491746230037
1	30427671	16095302	16104815	-	1	30427671	14385029	14394767	1963	9824	0	19.981677524429966
