chr1	start1	end1	chr2	start2	end2	strand	length	identity	score	n_seeds	seed_density	context
1	3045396	3074942	1	7035192	7065082	-	29546	0.2787	0.0079	41	0.019	intra
1	3057556	3100202	1	6710476	6752930	-	42454	0.2552	0.0085	69	0.023	intra
1	3068876	3092694	1	9861792	9885250	+	23458	0.2696	0.0068	30	0.018	intra
1	3074292	3103078	1	19035232	19063186	-	27954	0.2857	0.0046	22	0.011	intra
1	3145376	3220114	1	4802544	4877814	-	74738	0.2406	0.0029	42	0.008	intra
1	3228504	3251926	1	4091016	4114482	-	23422	0.2718	0.0037	16	0.010	intra
1	3235968	3263850	1	20159724	20187742	-	27882	0.2904	0.0049	23	0.012	intra
1	3246092	3299770	1	3246212	3299774	+	53562	0.2839	0.0020	17	0.004	intra
1	3250744	3283502	1	13981468	14014106	-	32638	0.2922	0.0054	29	0.012	intra
1	3322836	3380618	1	3322916	3380646	+	57730	0.2725	0.0028	28	0.007	intra
1	3328548	3361314	1	21495320	21528542	+	32766	0.2480	0.0237	158	0.068	intra
1	3383564	3414342	1	12876136	12906886	-	30750	0.2898	0.0051	26	0.012	intra
1	3392484	3413954	1	15919568	15940286	+	20718	0.2432	0.0073	33	0.022	intra
1	3399944	3431326	1	16890260	16922574	+	31382	0.2557	0.0057	35	0.016	intra
1	3472572	3498190	1	13986832	14013250	+	25618	0.2693	0.0056	27	0.015	intra
1	3498252	3576482	1	21104076	21182134	+	78058	0.2657	0.0036	49	0.009	intra
1	3522632	3547726	1	17369020	17394046	-	25026	0.2764	0.0064	29	0.016	intra
1	3664444	3686002	1	22444564	22466666	+	21558	0.2999	0.0042	15	0.010	intra
1	3694164	3732098	1	4091016	4129830	+	37934	0.2505	0.0021	16	0.006	intra
1	3705312	3763726	1	22536484	22594070	+	57586	0.2591	0.0016	17	0.004	intra
1	3728540	3771106	1	21607180	21649650	-	42470	0.3182	0.0030	18	0.006	intra
1	3737412	3805542	1	23082136	23150070	-	67934	0.2791	0.0015	17	0.004	intra
1	3740116	3773974	1	18288320	18322418	-	33858	0.3021	0.0044	23	0.010	intra
1	3749992	3781202	1	3753904	3785718	+	31210	0.2890	0.0211	110	0.049	intra
1	3805140	3833274	1	18279476	18308554	+	28134	0.2856	0.0093	45	0.022	intra
1	3806968	3868858	1	3807024	3869010	+	61890	0.2700	0.0026	28	0.006	intra
1	3812484	3843922	1	4095892	4127438	-	31438	0.2867	0.0045	24	0.011	intra
1	3819008	3855638	1	3822404	3859366	+	36630	0.2642	0.0225	153	0.058	intra
1	3833924	3854494	1	3837828	3858374	+	20546	0.2646	0.0059	24	0.016	intra
1	3882536	3910598	1	23213668	23241594	-	27926	0.2763	0.0068	34	0.017	intra
1	3892680	3915422	1	13855844	13878510	-	22666	0.2735	0.0036	15	0.009	intra
1	3897308	3998990	1	3897416	3999046	+	101630	0.2989	0.0057	83	0.011	intra
1	4049672	4113738	1	4049732	4113770	+	64038	0.2887	0.0262	262	0.057	intra
1	4063380	4094318	1	21681588	21712310	-	30722	0.2644	0.0210	122	0.056	intra
1	4064336	4094050	1	16253252	16282342	-	29090	0.2779	0.0085	44	0.021	intra
1	4068504	4105666	1	24020560	24057370	-	36810	0.2688	0.0025	17	0.006	intra
1	4069840	4091174	1	12306984	12328046	+	21062	0.2891	0.0041	15	0.010	intra
1	4072484	4106022	1	10575932	10609846	+	33538	0.2930	0.0028	15	0.006	intra
1	4074188	4119306	1	14157640	14202174	-	44534	0.2804	0.0023	17	0.005	intra
1	4076120	4106698	1	23307716	23338590	+	30578	0.2961	0.0032	16	0.007	intra
1	4077280	4136690	1	18984288	19043894	-	59410	0.2920	0.0119	109	0.026	intra
1	4078408	4116550	1	19047164	19085050	-	37886	0.2979	0.0029	17	0.006	intra
1	4080656	4112586	1	11869292	11900738	+	31446	0.2808	0.0066	36	0.016	intra
1	4081500	4132302	1	16699668	16751462	-	50802	0.2763	0.0029	25	0.007	intra
1	4081752	4108274	1	19868040	19894746	+	26522	0.2919	0.0036	16	0.008	intra
1	4081896	4117662	1	9231064	9265982	-	34918	0.2882	0.0067	39	0.016	intra
1	4084336	4112638	1	18301452	18330174	-	28302	0.2591	0.0029	16	0.008	intra
1	4085984	4117662	1	9231064	9263766	-	31678	0.2975	0.0040	20	0.009	intra
1	4086908	4110250	1	7738568	7761342	+	22774	0.2403	0.0036	18	0.011	intra
1	4087768	4110706	1	7761508	7785150	-	22938	0.2752	0.0308	130	0.079	intra
1	4088980	4112902	1	20465980	20489754	+	23774	0.2785	0.0058	25	0.015	intra
1	4091016	4111670	1	6572904	6593506	-	20602	0.2890	0.0047	17	0.012	intra
1	4091016	4116550	1	19047424	19072910	-	25486	0.2971	0.0036	15	0.008	intra
1	4091020	4120002	1	12735192	12763274	-	28082	0.2851	0.0031	15	0.007	intra
1	4091020	4111630	1	22088184	22108726	-	20542	0.2733	0.0039	15	0.010	intra
1	4091580	4112270	1	16341512	16362274	+	20690	0.2860	0.0060	22	0.015	intra
1	4093312	4117902	1	8232444	8257834	-	24590	0.2810	0.0082	36	0.020	intra
1	4093464	4117654	1	13064360	13088338	-	23978	0.3087	0.0091	34	0.020	intra
1	4093648	4134318	1	16738356	16778934	+	40578	0.2985	0.0024	15	0.005	intra
1	4095176	4138338	1	13545540	13588878	-	43162	0.2749	0.0028	21	0.007	intra
1	4111328	4147698	1	13020960	13057958	-	36370	0.2720	0.0037	24	0.009	intra
1	4111360	4152402	1	10527872	10568382	+	40510	0.2902	0.0037	24	0.008	intra
1	4111436	4141926	1	18301444	18332126	+	30490	0.2488	0.0058	36	0.017	intra
1	4135724	4173462	1	4135764	4173466	+	37702	0.2542	0.0024	18	0.007	intra
1	4184160	4205050	1	4294880	4316006	+	20890	0.3263	0.0725	218	0.146	intra
1	4261060	4333138	1	4261072	4333486	+	72078	0.2994	0.0030	32	0.006	intra
1	4280956	4305014	1	23353172	23377558	+	24058	0.2762	0.0041	18	0.010	intra
1	4310072	4338894	1	4338888	4368394	-	28822	0.2476	0.0025	15	0.007	intra
1	4659588	4683498	1	4659596	4683806	+	23910	0.3048	0.0045	17	0.010	intra
1	4736152	4761062	1	4737884	4761754	+	23870	0.2620	0.0038	18	0.011	intra
1	4752876	4786106	1	6703592	6736442	+	32850	0.2405	0.0023	16	0.007	intra
1	4752932	4797506	1	9854960	9899306	-	44346	0.2698	0.0084	66	0.021	intra
1	4752992	4807914	1	15907456	15961590	+	54134	0.2782	0.0092	83	0.021	intra
1	4757308	4787158	1	12328024	12357826	-	29802	0.2811	0.0029	15	0.007	intra
1	4758216	4787042	1	18763152	18792650	+	28826	0.2816	0.0141	71	0.034	intra
1	4759792	4842806	1	4759796	4842854	+	83014	0.2777	0.0013	18	0.003	intra
1	4768444	4800098	1	9798724	9830834	+	31654	0.2857	0.0172	92	0.041	intra
1	4768464	4795806	1	16790996	16817458	+	26462	0.2603	0.0042	22	0.012	intra
1	4771600	4797170	1	8478464	8504418	-	25570	0.2551	0.0029	15	0.008	intra
1	4785460	4817966	1	19141208	19173802	-	32506	0.2638	0.0028	17	0.007	intra
1	4797192	4830438	1	15885572	15919198	+	33246	0.2837	0.0034	19	0.008	intra
1	4828480	4851866	1	4830808	4854234	+	23386	0.2458	0.0237	118	0.071	intra
1	4989132	5026354	1	4993708	5030846	+	37138	0.2729	0.0098	65	0.025	intra
1	5074232	5140162	1	5074256	5140414	+	65930	0.2906	0.0099	101	0.021	intra
1	5349940	5477882	1	5350332	5478282	+	127942	0.2669	0.0071	150	0.016	intra
1	5417860	5457554	1	20540008	20579838	+	39694	0.2849	0.0030	20	0.007	intra
1	5433008	5454494	1	14009564	14031266	+	21486	0.2539	0.0043	19	0.012	intra
1	5436260	5457554	1	20559052	20579838	+	20786	0.2558	0.0061	26	0.018	intra
1	5505228	5531886	1	11148124	11174802	+	26658	0.2349	0.0029	17	0.009	intra
1	5701684	5726706	1	16870548	16896390	+	25022	0.2747	0.0050	23	0.013	intra
1	5922940	5966654	1	16253392	16297242	-	43714	0.2478	0.0080	69	0.022	intra
1	5939120	5966282	1	7725668	7752314	-	26646	0.2702	0.0099	49	0.026	intra
1	5942884	5971454	1	13142704	13171606	+	28570	0.2929	0.0148	70	0.034	intra
1	5948016	5970674	1	11409532	11432790	+	22658	0.2447	0.0092	45	0.028	intra
1	5948552	5987566	1	22088232	22127618	+	39014	0.2777	0.0258	174	0.062	intra
1	5954152	5975130	1	6446580	6467486	-	20906	0.2878	0.0436	159	0.106	intra
1	5954284	5985578	1	5954316	5985614	+	31294	0.2772	0.0123	68	0.030	intra
1	5960188	5981502	1	13161632	13182390	+	20758	0.2813	0.0093	35	0.024	intra
1	5965768	5987694	1	16716876	16738214	-	21338	0.2645	0.0151	63	0.041	intra
1	5965784	5986898	1	16541012	16562014	+	21002	0.2677	0.0064	26	0.017	intra
1	6194540	6237314	1	11892696	11935062	-	42366	0.2904	0.0029	20	0.007	intra
1	6218620	6265154	1	12319528	12365034	+	45506	0.2905	0.0081	59	0.018	intra
1	6218816	6244802	1	6218912	6244806	+	25894	0.2799	0.0152	70	0.038	intra
1	6231068	6259458	1	13051248	13079818	+	28390	0.2742	0.0033	17	0.008	intra
1	6237156	6287150	1	19893812	19944158	-	49994	0.2488	0.0027	26	0.007	intra
1	6433564	6455722	1	6433708	6455750	+	22042	0.2884	0.0233	89	0.057	intra
1	6440072	6474046	1	7971112	8004290	+	33178	0.2753	0.0309	182	0.077	intra
1	6443324	6468054	1	17699292	17723534	+	24242	0.2799	0.0173	75	0.043	intra
1	6454740	6477410	1	22083804	22106582	-	22670	0.2919	0.0309	119	0.073	intra
1	6455040	6490482	1	16578736	16614026	-	35290	0.2825	0.0091	55	0.022	intra
1	6474240	6515174	1	10538904	10579950	+	40934	0.2764	0.0042	30	0.010	intra
1	6477428	6515266	1	21615356	21652918	-	37562	0.2795	0.0060	39	0.015	intra
1	6508548	6536314	1	10233608	10261210	+	27602	0.2747	0.0062	31	0.016	intra
1	6574508	6615998	1	23111608	23153330	-	41490	0.3014	0.0024	15	0.005	intra
1	6707844	6736630	1	15911756	15939958	+	28202	0.2847	0.0093	45	0.022	intra
1	6711236	6762626	1	10882868	10934638	+	51390	0.2778	0.0116	100	0.027	intra
1	6714096	6737286	1	19172748	19196450	-	23190	0.2616	0.0129	59	0.036	intra
1	6717240	6762626	1	10890148	10934638	+	44490	0.2747	0.0082	63	0.020	intra
1	6717980	6740130	1	6720808	6742854	+	22046	0.2572	0.0477	213	0.135	intra
1	6718508	6743834	1	22105668	22130322	-	24654	0.2714	0.0057	26	0.015	intra
1	6718620	6755566	1	22973964	23011254	-	36946	0.2717	0.0045	30	0.011	intra
1	6724748	6764730	1	9837980	9878210	-	39982	0.2982	0.0085	53	0.019	intra
1	6725788	6747682	1	16235556	16257438	+	21882	0.2879	0.0076	29	0.019	intra
1	6730560	6762910	1	13147700	13180278	-	32350	0.2938	0.0032	17	0.007	intra
1	6731236	6768462	1	8259208	8296386	-	37178	0.2488	0.0040	30	0.011	intra
1	6736052	6756326	1	19308896	19328966	-	20070	0.2918	0.0058	20	0.014	intra
1	6743368	6770370	1	13139816	13166922	-	27002	0.2567	0.0043	23	0.012	intra
1	6893388	6915062	1	18080908	18102094	-	21186	0.2924	0.0055	20	0.013	intra
1	6910596	7005650	1	6911136	7005814	+	94678	0.2629	0.0018	30	0.004	intra
1	7003392	7044830	1	18737600	18779410	-	41438	0.2938	0.0023	15	0.005	intra
1	7004428	7036330	1	19466036	19497318	-	31282	0.2772	0.0094	52	0.023	intra
1	7006756	7052594	1	12334760	12381362	+	45838	0.3032	0.0191	131	0.040	intra
1	7016180	7044830	1	18737600	18766378	-	28650	0.2725	0.0044	23	0.011	intra
1	7016808	7051270	1	16806460	16840974	+	34462	0.2751	0.0172	105	0.043	intra
1	7026136	7077782	1	7051544	7103098	+	51554	0.2453	0.0035	36	0.010	intra
1	7035192	7059530	1	12364136	12389214	+	24338	0.2719	0.0283	128	0.074	intra
1	7035336	7065610	1	7035432	7065682	+	30250	0.2953	0.0033	16	0.007	intra
1	7084680	7115034	1	7088188	7118710	+	30354	0.2658	0.0032	18	0.008	intra
1	7112524	7132994	1	8557412	8578066	+	20470	0.2861	0.0058	21	0.014	intra
1	7251924	7283978	1	11408136	11440690	-	32054	0.2904	0.0064	34	0.015	intra
1	7251924	7291778	1	16839740	16878970	+	39230	0.2813	0.0030	20	0.007	intra
1	7274580	7324290	1	7274628	7324346	+	49710	0.3054	0.0021	15	0.004	intra
1	7281720	7302550	1	16259816	16280826	+	20830	0.2937	0.0127	45	0.030	intra
1	7282452	7350930	1	16898716	16967710	-	68478	0.2688	0.0031	36	0.007	intra
1	7349472	7459210	1	7350336	7459218	+	108882	0.2854	0.0252	415	0.053	intra
1	7438748	7460718	1	7444388	7466594	+	21970	0.2655	0.0038	16	0.010	intra
1	7453800	7483318	1	8360384	8389986	-	29518	0.2662	0.0036	20	0.009	intra
1	7504844	7564930	1	7504884	7565062	+	60086	0.2754	0.0025	25	0.006	intra
1	7599744	7629810	1	14266588	14296614	+	30026	0.2937	0.0037	18	0.008	intra
1	7686168	7752486	1	18987692	19054410	+	66318	0.2706	0.0026	29	0.006	intra
1	7708724	7733594	1	7713536	7737850	+	24314	0.2919	0.0190	78	0.045	intra
1	7719536	7743658	1	13081376	13105162	+	23786	0.2908	0.0077	31	0.018	intra
1	7725356	7783734	1	19026920	19085286	+	58366	0.2850	0.0029	27	0.006	intra
1	7725652	7765074	1	16219692	16259226	-	39422	0.2809	0.0030	20	0.007	intra
1	7725668	7822674	1	7725696	7822682	+	96986	0.2671	0.0017	28	0.004	intra
1	7787472	7822674	1	7787548	7822682	+	35134	0.2510	0.0021	15	0.006	intra
1	7798888	7824294	1	21779772	21804814	-	25042	0.2725	0.0035	16	0.009	intra
1	7803796	7833442	1	13852220	13881882	+	29646	0.2864	0.0040	20	0.009	intra
1	7805152	7852494	1	8548452	8595942	+	47342	0.2946	0.0031	23	0.007	intra
1	7846036	7893614	1	7848080	7895798	+	47578	0.2478	0.0052	49	0.014	intra
1	7876420	7920898	1	7879116	7924090	+	44478	0.2908	0.0098	70	0.022	intra
1	7950040	7978818	1	15994040	16021998	+	27958	0.2645	0.0081	43	0.022	intra
1	7959576	7986074	1	17241156	17267862	+	26498	0.2863	0.0057	26	0.014	intra
1	7962112	7986202	1	19004236	19027650	+	23414	0.2711	0.0221	97	0.058	intra
1	7985896	8007666	1	21190024	21210894	-	20870	0.2998	0.0082	28	0.019	intra
1	8089880	8116642	1	16300616	16327250	+	26634	0.2400	0.0043	25	0.013	intra
1	8091200	8115950	1	16880512	16904974	+	24462	0.2824	0.0037	16	0.009	intra
1	8106252	8128950	1	11723428	11746610	-	22698	0.2578	0.0105	48	0.030	intra
1	8114888	8135938	1	18726280	18746930	-	20650	0.2817	0.0099	37	0.025	intra
1	8114944	8137602	1	19307072	19328994	-	21922	0.2778	0.0065	26	0.017	intra
1	8213140	8239550	1	16596436	16622458	-	26022	0.2727	0.0058	28	0.015	intra
1	8218428	8252554	1	16576788	16611070	+	34126	0.2819	0.0048	28	0.011	intra
1	8224288	8256842	1	13043348	13076122	+	32554	0.2849	0.0034	19	0.008	intra
1	8229812	8254230	1	22150404	22174106	-	23702	0.2755	0.0064	28	0.017	intra
1	8235188	8290558	1	10524900	10579726	+	54826	0.2805	0.0035	32	0.008	intra
1	8238492	8271634	1	21676996	21709378	-	32382	0.2688	0.0097	58	0.025	intra
1	8242600	8277834	1	16589956	16624870	+	34914	0.2863	0.0382	223	0.089	intra
1	8258984	8303270	1	16711632	16756370	-	44286	0.2751	0.0020	15	0.005	intra
1	8266668	8291346	1	16544336	16568302	+	23966	0.2735	0.0034	15	0.009	intra
1	8266692	8290102	1	21659036	21682046	-	23010	0.2957	0.0324	124	0.075	intra
1	8276812	8308414	1	16259144	16291134	+	31602	0.3059	0.0099	48	0.021	intra
1	8281940	8307514	1	12270780	12295562	-	24782	0.2643	0.0033	16	0.009	intra
1	8286424	8309786	1	19045132	19068694	-	23362	0.2894	0.0050	20	0.012	intra
1	8289552	8310746	1	12853976	12875318	+	21194	0.2901	0.0183	67	0.044	intra
1	8368900	8416522	1	8368916	8416946	+	47622	0.2821	0.0234	185	0.054	intra
1	8388688	8424098	1	8389572	8425386	+	35410	0.2589	0.0218	148	0.059	intra
1	8450764	8472166	1	8495816	8516830	+	21014	0.2937	0.0143	51	0.034	intra
1	8451464	8495318	1	19057032	19100994	-	43854	0.2686	0.0026	20	0.006	intra
1	8461856	8489938	1	15940652	15968998	-	28082	0.2861	0.0098	47	0.023	intra
1	8462756	8508694	1	19146176	19192266	+	45938	0.2635	0.0024	20	0.006	intra
1	8471052	8506374	1	14289416	14325258	+	35322	0.2673	0.0062	40	0.016	intra
1	8478272	8504618	1	19983136	20009738	+	26346	0.2564	0.0042	22	0.012	intra
1	8479176	8507130	1	9856592	9884726	+	27954	0.2809	0.0063	31	0.016	intra
1	8539156	8569966	1	9353496	9384802	-	30810	0.2571	0.0060	36	0.016	intra
1	8544428	8591230	1	9452656	9500446	-	46802	0.2750	0.0029	23	0.007	intra
1	8577192	8598410	1	11278072	11299418	-	21218	0.2868	0.0040	15	0.010	intra
1	8577284	8616902	1	8577856	8616942	+	39086	0.2712	0.0029	20	0.007	intra
1	8579220	8616902	1	8579244	8616942	+	37682	0.2836	0.0028	18	0.007	intra
1	8613596	8652194	1	9409728	9447714	+	37986	0.2668	0.0045	31	0.011	intra
1	8757896	8799178	1	8808412	8849674	+	41262	0.2820	0.1274	2042	0.693	intra
1	8764680	8793674	1	8816356	8844974	+	28618	0.2815	0.1227	2129	1.042	intra
1	8765560	8789046	1	8802468	8825998	+	23486	0.5890	0.5600	3073	1.832	intra
1	8766024	8798590	1	17609220	17641298	+	32078	0.2423	0.0099	67	0.029	intra
1	8769600	8791538	1	17621140	17642310	-	21170	0.2834	0.0048	18	0.012	intra
1	8772108	8818102	1	19355992	19402086	+	45994	0.2776	0.0038	30	0.009	intra
1	8794448	8815938	1	11454600	11476442	-	21490	0.2676	0.0048	20	0.013	intra
1	8856756	8882578	1	17076644	17101970	+	25326	0.2801	0.0051	23	0.013	intra
1	9015268	9042514	1	9015300	9042586	+	27246	0.2703	0.0042	21	0.011	intra
1	9061484	9092454	1	16968396	16999414	-	30970	0.2730	0.0030	17	0.008	intra
1	9070728	9116438	1	9071232	9116542	+	45310	0.3049	0.1263	851	0.263	intra
1	9078216	9116438	1	9078276	9116542	+	38222	0.3091	0.0329	186	0.068	intra
1	9108608	9130546	1	9112360	9133670	+	21310	0.2690	0.0189	77	0.051	intra
1	9136656	9158994	1	13416040	13438462	-	22338	0.2766	0.0037	15	0.009	intra
1	9170784	9194518	1	18380372	18404946	+	23734	0.2607	0.0036	17	0.010	intra
1	9177552	9198130	1	22674000	22694178	-	20178	0.2844	0.0042	15	0.010	intra
1	9202956	9252614	1	20456664	20506310	+	49646	0.2830	0.0054	44	0.012	intra
1	9205160	9236914	1	22165184	22197374	-	31754	0.2771	0.0030	17	0.007	intra
1	9214016	9242374	1	20466968	20494854	+	27886	0.2740	0.0035	18	0.009	intra
1	9219472	9244514	1	18285108	18309414	+	24306	0.2626	0.0070	33	0.019	intra
1	9221392	9245442	1	13552588	13576226	+	23638	0.2626	0.0061	28	0.017	intra
1	9223940	9254486	1	12325116	12356230	+	30546	0.2797	0.0037	20	0.009	intra
1	9224768	9255458	1	13046152	13076302	+	30150	0.3214	0.0070	30	0.014	intra
1	9236188	9263842	1	16568856	16597514	-	27654	0.2634	0.0068	36	0.018	intra
1	9236252	9272170	1	11857004	11893266	-	35918	0.2687	0.0026	17	0.007	intra
1	9236736	9280882	1	22165536	22210374	+	44146	0.2669	0.0025	20	0.006	intra
1	9350736	9380938	1	9355652	9385690	+	30038	0.2735	0.0072	39	0.018	intra
1	9361496	9385030	1	17502232	17525042	-	22810	0.2594	0.0044	20	0.012	intra
1	9366184	9391518	1	10573340	10598582	+	25242	0.2683	0.0031	15	0.008	intra
1	9379076	9427398	1	10571124	10619994	-	48322	0.2512	0.0028	26	0.008	intra
1	9384360	9418734	1	20480172	20514358	-	34186	0.2664	0.0032	20	0.008	intra
1	9388744	9418942	1	18270592	18301138	+	30198	0.2880	0.0067	34	0.016	intra
1	9390316	9418682	1	20513908	20541906	-	27998	0.2710	0.0029	15	0.008	intra
1	9395272	9437370	1	21109304	21152014	-	42098	0.2682	0.0066	50	0.017	intra
1	9418128	9440730	1	12217984	12240846	-	22602	0.2636	0.0036	16	0.010	intra
1	9547232	9578506	1	9548052	9579782	+	31274	0.2815	0.0135	73	0.033	intra
1	9551104	9575242	1	19682740	19706770	+	24030	0.2854	0.0215	90	0.052	intra
1	9608072	9689838	1	12714928	12796586	-	81658	0.2815	0.0118	153	0.026	intra
1	9676888	9796122	1	9676920	9796554	+	119234	0.2854	0.0160	286	0.034	intra
1	9754296	9777854	1	9755068	9779142	+	23558	0.2868	0.0512	209	0.124	intra
1	9796236	9822226	1	22987296	23013230	-	25934	0.2852	0.0501	225	0.121	intra
1	9800916	9837082	1	11684852	11720874	+	36022	0.2917	0.0053	31	0.012	intra
1	9802588	9828034	1	16311768	16337506	+	25446	0.2633	0.0039	19	0.010	intra
1	9803536	9825378	1	23200496	23222730	+	21842	0.2863	0.0324	124	0.079	intra
1	9806512	9840982	1	22597588	22632670	-	34470	0.2673	0.0090	57	0.023	intra
1	9816212	9841314	1	22596244	22622298	-	25102	0.2975	0.0093	38	0.021	intra
1	9816408	9842798	1	16904048	16929854	+	25806	0.2875	0.0217	96	0.052	intra
1	9846152	9871230	1	22601632	22626290	+	24658	0.2724	0.0048	22	0.012	intra
1	9865348	9885898	1	16306892	16327298	-	20406	0.2850	0.0127	46	0.032	intra
1	9879964	9918806	1	12954248	12993430	+	38842	0.2786	0.0090	60	0.022	intra
1	9890228	9913506	1	9890324	9913514	+	23190	0.2953	0.0114	44	0.027	intra
1	9991720	10016530	1	10482160	10506934	+	24774	0.2972	0.0074	30	0.017	intra
1	10003240	10036558	1	20187668	20220750	+	33082	0.2832	0.0041	23	0.010	intra
1	10020596	10067822	1	10027892	10074910	+	47018	0.2747	0.0042	34	0.010	intra
1	10042176	10102062	1	10047900	10107718	+	59818	0.2584	0.0146	160	0.037	intra
1	10052752	10112966	1	10055276	10114606	+	59330	0.2803	0.0149	145	0.034	intra
1	10088868	10122886	1	17157364	17191630	+	34018	0.2757	0.0100	60	0.025	intra
1	10196380	10244826	1	10196524	10245494	+	48446	0.2663	0.0024	21	0.006	intra
1	10221532	10262906	1	12601616	12641998	+	40382	0.3030	0.0049	30	0.010	intra
1	10222316	10253834	1	21601732	21633830	-	31518	0.2773	0.0034	19	0.008	intra
1	10229908	10262906	1	12608904	12641998	+	32998	0.2607	0.0048	30	0.013	intra
1	10277912	10315382	1	13097432	13134962	-	37470	0.2705	0.0028	19	0.007	intra
1	10288892	10418634	1	10288912	10419002	+	129742	0.2674	0.0077	164	0.018	intra
1	10301480	10345462	1	10304568	10348118	+	43550	0.2804	0.0045	33	0.011	intra
